元気でしてあげたいことばかりです	はいあーそーなんですねー
えーと小ちゃい手提げの袋を頂いたんですねまーそれにはびっくりしちゃって私もあのー	そうなんですね
それから大磯とか	へー
本当になんていやーどうしちゃったのかしらって	いやいやー
多かったですあと銀行にも	思い出はい
多趣味っていうか色んなことであの時間があれば何でもできると思っていつでも今年は	あー
鉢のその成長の糧を見るのが本当に今は	へえ
西新宿5丁目大江戸線地下鉄大江戸線にえー乗車をいたしましてえー若松河田まで参りえーそしてこちらの会社の方まで訪問を	あ
私はあの平成16年に乳癌の	へぇ
オリンピックを	あっ
何でしたっけ	笑難しいですよね
その関係もありまして	凄いです
持ってきなさいと	はいへぇー
全く	そうでしたか
あコンビニをおー二つばかり	二つもですか
見学がありましてそこに行ったときに手術を見る機会があったんですけどもその時に目を回しました血の量の多かったのと	はー血を見るとダメですよね
コピーがとても気になってい気に	あはいはい
あのーそれこそ足も短いしあのー背も小さいし	いやーそんなことないですよー
庸軒流といいます	あー用件流
えーあまりそういう記憶っていうかじ実際	ほう
まーそういう意味でそれも感謝しております	そうですかー
そして渋谷から早大正門前という行きのバスがありますのでそのバスは1時間に2本きり出ていないのでえーと	少ない
小田急線の参宮橋という駅がございます	えーはい参宮橋
でどうしてあん時あの来たのってその様子を聞いたことはなかったんですけどもやっぱりあの子たちの気持ちを大事にして	えーそうですよー
それから病みつきに	へえ
多趣味っていうか色んなことで	うふふ
おとこ男の子みたいに	自然なものうんうん
でえー当然ミヤンマーとかカンボジアこの辺あるいは	うーん
残念なこと	そーですねー
えーゴルフの仲間もいれば	うん
えーとても	そーなんですねー
ま健康に恵まれてる	いいな
だったと思うんです	はいあっそーなんですねー
堀内孝雄	へえ
本多流と	あん
でそれに従って	へえ
つい	楽しそうですね
そうですね今一番したいことはピアノを上手になるまたなることっていうのとそれから	あーん素敵ですねー
良くななりつつあると	ええ
いうことです	そうなんですね
こういうことはないと思います	あーそうでも羨ましいです
あのー忘れることはありますけどもなるべくと	ねー
ダンスをしたことです	あーダンスですかー
はーあの作文ということであの課題を出され	あはい
そうですね今一番したいことはそう	したいこと
ほんとにいい気持になりましてね	あー
ただ勝負だけにこだわるんじゃなくて	はいはい競技じゃなくて
父はちょっと獣医さんでちがいますけども	え凄いひっ
もういっぱい趣味はありまして	すごいです
一日のうち二時間ぐらいであとは	あー
えー着替える場所とかえーと行司さんの	うーんあ
王とか長嶋の時には	はいあー
私自分で学校に行ってお勉強したわけではなくて本を買って独学で60の手習いからあの勉強したので	うーん
人生で一番嬉しいことというのはえーライフワークに	ライフワーク
蘭の花をもって2人で	あー
各自ね	うーん
降りなかったそうなんです	ああ
肝臓の権威っていわれる	あーあーそうなんですか
北海道で	嬉しかったことは
2つのおはじきを	はいうん二つの
イタリアと北欧は行ってないんでえーその辺に	ああはあはあ
韓軍と幕軍が	へえ
まそういうことで	すごいですねー
外語大を出ましてしち年間	うーん
まずやりまして	あ練習をしてから
などとまそんなものを見ながらえー友達と遊んでもいました	はいそうですかー
いままで想像がつかない時代の	想像がつきませんね
えー月に一二回はゴルフ場に行ってしかもこれ従来は車で行ったんですがそれもやめてですね自転車あの失礼電車で	えっ
ことをして生きていきたいなーとは	はー
自分自身はむすあの子供が娘二人だったので	あっそうなんですねー
えー母親が	ねーはい
それから	ああ
えーと一番嬉しかったことって一口にゆってもあまりに多すぎて	あーはいはい
あのあたくしの小さい頃はなにになりたいとかっていうのはあまりか聞かれたことがな	あっそうなんですねー
山手線回りで	あー
ときにとくに若いうちの	なるほどありますよね
秋になってくると	秋になるとはい
もう全面的にしていただきたいともう	もちろん
ひとときが	うーん
いうことが今一番したい	あっ
えーとボール遊びとかもう本当に遊ぶこと	ねー
軍艦に乗ると船が沈没して	ああ
ちょっと覚えていないし	そうですよね
この小学校の	可愛い
育成団体のボランティア活動をしておりました	あっそーですかー
たです	あーそうですかー素敵ですねー
えー何線えー	何線でしたでしょうか
40分の	特にええええ
めんこをひっくり返すと上からたたきつけてひっくり返すと自分のものになると	あー
あのー大変お金持ちの国で高級車が	そうなんですね
弓道っていうのが私の	うーん
いうふうにいってましたから	はー今と違いますねー
ちょっとでもなんかこう不安がありましたけども	ええそうですよね
たいした傷ではなかったと思います	そーですかーちょっと怖い
遠かったので	あー
えー地下鉄で来ました	ええあ来られたんですね
死ぬことがほとんどなかった	あーあーそーなんですねー
ただあのー西洋料理だったのでコックさんには	はいうーん
嬉しかったことですね	ほんとにそうですよね
まーあのきれいな棒棒状のひもひも状の	はいカラフルな
でえー心をえー落ち着かせながら	あっはははそうなんですか
ずっとすいておりましたので	あっそーですかーよかったですねー
えーまずうーなぜなぜ驚いたかといううと	えどうしてですか
東京都母子寡婦福祉団体協議会に属してましてまーあの今は理事をやってるんですけどそこの	そうなんですね
君	へえ
軽井沢そのものでしたかちょっと覚えてないですが順次降りて連絡板を見てそこに何か書いてあるだろうというふうに思ったことがもうどんぴしゃだったので	そですねー
あとはもうあのー何とかあのー若松河田町まで来れたんですけど	あーはいはいはい
趣味と言いますか私は趣味と言いますかあのー若い頃は	はい
例えばもー小学校4年生とかになればあのー何でもスポーツで	はぁー
二十六歳の時にえー練習へ連れて行かれて	はいあーそうなんですねー
六十年も	は
その先生と会ってから	はー
あるんだなーという	あっ
射礼なんですねでみんなもあまり見たこともなかったんで	おーん
のこぎりで工作をして	あー
ずっと教えてまして	うーん
このーところに来られませんのでそういう	あー
大画面42インチと	あー
私は戦争中なので終戦が昭和20年の	あっそう
そしてあの卒業と同時に学校に残ってくださいって先生におっしゃられましたのでそこで夜間のあの助手をしばらくのあいだあのー	先生のお手伝いされたんですか
あの国技館なのでちょっと	行ってみたいです
あのーその違いを認めるというところから	ああ
えー娘が今ヨーロッパへ娘夫婦がヨーロッパに今行っていますが	ええそうですね
祖母から	そうですか
早めではあったんですがあたくしはもうどこに約束したならばいつも30分前にはいあのー	えーいやぁ
楽しいお話を聞いたりまた大変な病気をして	あっはい
無論の	うーん
一生懸命リハビリして歩けるようになってお仕事もできるようになって今はお仕事を頂いて	あ
いうふうに思って	ねぇ
このーところに	遠いですねはい
舞台を大きな舞台で	大きな舞台だったんですね
やはりどこ行ってもやっぱ女性が多いんだなと	ねー35名なのに
えーあーこういうものなんだなっていうのが	そうですねー
かた達を	うーん
楽しい思い出がその	そうですよね
ぱーっていうのかなそういう遊びをしましたお金のかかることは本当に	うーん
若なんとか	駅ええ
当然軍国少年で	んーんー
まーあの自分の趣味として一番	はいご趣味は
寝ましょうって	あっ
磨きをかけて強くして	はー
病気の話ばとかすえの話とかんなるとちょっと私も何だかまーいつかは	ふふ
来た時についた先生が	あーはい先生ですね
パリのカルダンさんの事務所に毎日毎日	うーんはい
えー京王線も使ったし都営大江戸線も使って	あ
それでえーそういう子供達を教えてあげたいと思ってますがまずそういう一歩がえー達成できたという事が	そうですね
あの入院してる間に	へー
しかし今のように治安が悪くなってくるとですね自分を守るということが必要なんでそういう意味では	そうですね
あのー二所帯住宅で生活をしています	あっはい
そしてーまた	あーいいですよねうーん
子供たちがやってる遊びと全く	そうですねー
自分に	健康
でこれがですね今でもその自分の体力が落ちないということにですね	今でも
それがわたくしがお寿司が食べたい言ってたものですから	あお寿司ですね
あのきちっとした身だしなみを整えていたいっていうの女性ですからやっぱりあるんですよね	あー
あークラスに入れた	へー
それがすばすべて結果としてそのたびそのたびでしたけどすべてうまくいったっていうのが私としてはいちばーん嬉しかったです	うーんいーアドバイスだったんですねー
あのー意向は学女性でも学だけつけておけば何とかなるっていう	はー
んなそういう弱い子を救ってあげたいなーって	あーそーなんですねー
ジェットストリームみたいな番組	そーですねー
そこでえーおぼえあのそこで始まったわけですがそのあと色々とまーその趣味をつづ続けておりまして	そーなんですねー
えー月に一二回はゴルフ場に行ってしかもこれ従来は	元気ですね
30人	はいあー
あのなんですかね末っ子だったし何にもすることがないのでよく遊びましたけれどそれにまー女の子があんまり近くにいなかったっていうことで男の子がいて私の兄もいましたすぐ	あ
専門医の方を紹介していただければ	あっそーですねー
出来なかった時ですんで	あーそうですよね
えーやがてえー実家に戻って結婚すると	そうですね
三十数メートル	うわぁーすご
洋服を着たりして	はあー
提案によって	支店長さんからの提案だったんですね
面白さを	ちょっと新鮮な
めんことこかそういうのをよくやりましてそれで	めんこうん
これはもう50年以上	あー
大江戸線に乗って	大江戸線に乗ってええ
えーと小ちゃい手提げの袋を頂いたんですねまーそれにはびっくりしちゃって私もあのーうう嬉しかったのも	嬉しいですよね
だから	はあええ
えー明治神宮の	あっはい
ま実際の話	実際はどうでしょうか
えーどういう仕事をしされてるんですかなんですかというようなことで	うーん
腰痛にえー弱冠あー悩まされておりますので	あーそうなんですか
今はまあ若干歳とともに飛距離等が落ちてきておりますのでえースコアも若干落ちてますけれども	ああ
なりかたあのーもし結婚ができればそうじゃないんですけど結婚ができなかった時に自立できるように何か仕事を	あはい
いうベーゴマもやりましたね	うんうんうーん
いわれて	なるほど
もう33年もまえからまー友達っていうかあの私のところが塾をしていたものですから	おーはい
若松口というのはあの出口のことなのでここは改札口ですから改札ここをお出になって出て	出て
えーどーいうシーンでの一番っちゅうことであればいくつかあるんですけれども	むつかしいですかね
車を輸入するということに	輸入されて
し視察に来たことがありますで	あっそうなんですね
楽しく	すごいですねー
東京に参りまして	はい東京にいらしてからは
杖も	いいですねー
ブディックが	わーすごーい
二三日前に娘から電話があり	あっそうなんですねー
えーとっても嬉しかったこととかって	うーん
その関係も	そうだったんですね
頃	はい小学校の頃
そいで京都に一番行きたいです日帰りでもいいから行きたいですしてもらいたいことは今母を介護しておりますので私はしてもらいたいことはありません	はーはい
えーちょっと親戚にやっぱり	凄い
あー新聞紙の上に	新聞紙の上に
でお茶も色々ございますけれども	あそうなんですか
これをやりたいとかあれを	はあ
思って楽しい反面国技館の中のことをちょっと知ったって	えっへへへへ
腰痛にえー弱冠	あーそーなんですねー
とてもとても	うーん
歴史も文化も生活もお互いに	あー
興味というか価値を見出してますね	はいうーん
2年で辞めましてその後文化服装学院の大学の	あはい
その人が今度鬼に	あー
病気の話ばとか	はいあっあーそっか
で軽井沢の下車駅がなんと言う駅かっていうのを聞いてなかった	あっ
でさんじ三時間ぐらいちゃーんと	ああ
ドッジボールを	あー
若松河田に行きますかと伺いまして	うーんはい
老人の人達が集まっておりまして	えーあっそーなんですねー
なんの道具も	なるほど
エスカレーターと	エスカレーターと
えーわたくしは大きい庭と	へえ
えとそうですねあと60の手習いでパソコンも覚えまして今ではその	ふーん
その孫が	そうなんですねうーん
小さい頃なりたかったことは美容師さんになりたかったです	あっ美容師さんはい
の周りが全部	おーそうなんですか
あのー競技会も10年やってきたんですけど	はいはい競技会
えー健康にも	あそうですね
映画の世界入ったような気分に	そうですよね
これはラグビーっていうのはほんとにあの試合をやっている時は敵と味方で	あー
えーとわたくしあの孫がさん6人おりましてで一番上の子がもう大学を卒業して2年経つんですが	うわ大きいですね
えーなんだかだで	会長
その針に	へえ
もうそれがもう趣味みたいなもんに今は	一万歩
孫も	そうですね
えーもう	あーそーなんですね
会社に入ってから高校ですね高校から会社大学	高校はい
えーしぶしぶっといいますかえー受験行ってもちろん	はー
つつのようなものの	へー
ひとつづつ国を大きくしていくとかそんな遊びとか	はーはいはい
その卓球をあの大人の人たちとに混じってですね	卓球もええ
で駅からおおえど	駅から
渋谷区で	はいはい
えー彼女から	お電話が
あの楽でした	へえ
あコピーライコピーライターという称される言葉が知った	うーん
2泊	わーそうですかー
お寺が遊び場であありましたのでそこで思う存分暗くなるまで	暗くなるまでですか
多く遊んだのは野球をおーして	野球をええ
要はあのぶつけてねどちらがえー残るかと	あーはい
お母さんが子供を連れてきたとこから	塾ですか
駅員さんに聞きましたら	駅員さんにですか
冬の	えーそうなんですか
一番嬉しかったことということで	いいお話でしたー
3年間の付き合いを持って	はぁー
あの鉄道関係のえー仕事がしたいなと思って特にあの電車の	好きな人いますもんね
あの一番当時では難しい鉄鋼メーカーに	あー
えー近くの公園等に行ってえースケッチを始めたのが	あーそうなんですか
友達とも話がしたりできればいいかなって	ええええあーでも大切なことですよね
あの鉄道関係のえー仕事がしたいなと思って	はぁー
赴任することが	あー
40代の終わりから	あーはいはい
気に	あまりですか
影響力ありまして	へー
で私の住まいはですね渋谷区のあのー西原ということで千代田線の上原駅のに非常に近いところなんですね	あーそうですね
てっぺんなんか持ったことないですよねてっぺん持って	そうですよねー
あるらしくて	えーうーん
えー健康にもいいと思って	健康にいいです
の語り何かを聞いてるのは	へー
学校の先生でございました	あーそうですかーはい
とってもそうですね人生の中で嬉しい思い出が	そうですねー
し視察に来たことがありますでそれは	そうなんですか
私自分で	うーん
渋谷からバスに乗って逆方向から	ああ
趣味と言いますか私は趣味と言いますかあのー若い頃はお琴を弾いていたり	はぁ琴ですか
えーゴルフをやるには非常にお金がかかるということだったんですが幸いにしてうちの父親があのー多少のことだったら	うわ
とても可愛くてあの好奇心旺盛な女の子で	はーそうなんですねー
えー海もありと	ええ海が
稼いでねあの	うーん
焼け残ったんですが	あそうなんですかーええええ
二十五年かそんくらいその方入会して二十年とかいってましたねなんでその時から私は	あ
まーお袋も当時働いていたんでね	うーん
途中うー非常に暑かったんですが	暑いはい
その時やったのが	そうなんですねうーん
ある時に血圧が上がったんです	あーはい
五月二十五二十六と二日間に	2526はい
えー近くまで送って行ったあーことがあります	あっそーですかー
それが最近嬉しいことです	そーですかーよかったですねー
全くにあの突然にそんな贈ってきてもらってまーなんてまー嬉しいっていうより悪いっていう方が先に立ちましたけどでも本当に	あーそうなんですね
それでわたくしの収入が良くなったかということとはまた別の	違うけど
毎日のように	うーんうんうん
一日のうち二時間ぐらいであとは教練で	はいあーそなんですねー
年齢を思さず思わせる面白い文章とかがありまして	あーなるほど
大学じゃなくて小さい子供たちをですね	んあいいですね
あの明治通りに私の所は面していますので皆さんバスやなんかで通る時にはあらーすごいわね松原さんちなんであんなに青々としているのって	わーすごいですねー
水をやらないと	あーわぁ大変手がかかる
いうようなことで色んな縁があって	ええ
えー砂山をつな作りながらまたその砂山が	あー
一応医学の道は	ああ
誕生日は	素敵
えーお友達や何かにも色々何かやったらいいんじゃないのっていわれるんですけどもそのあれそのその元気もないんですねですから	あそうですかー
玉がついたような	あうーん
えーとっても嬉しかったこととかっていうと	あはっ
ま映画鑑賞がおもなんですけども	えーはい映画鑑賞
まーちゅう子供が	タイミング
二人の結論は何だったかと	えー
ちょこちょこと	えー
最近では	歩きながらうん
に居ました時によく耳にしており若松は耳にしておりましたけれどもこうやって来るのは	そうですか
そこのお昼お休みとかなんかはそこのお姉さんたちと一緒に	あ
友達には嫌われたくありませんからそのー病気のお話しもいっしょんなってお話はしますけどもとってもそれは何だか同い年なだけにつらいようなこともありますが	はいありますね
まーお友達がまー色々おりますのでそのー情報とかを色々聞いて	そうですねお話しするのがいいですね
コンビニとか	あはい
それがおもしろくてね	はぁー役者の絵が
したいことってゆってもま趣味を生かしてなんかやればいいんですけども	うーんはいいいですね
動機の中にはお互いに仲良くしたいという思いは当然含まれている	はいはい
そういうことでホテルの泊まりかただとか	あーそっか
あのーもう忘れましたがなんかちょっと甘い草もあったりしてですね疲れるとそれをなめたりとか	あらーそーなんですねー
あのー二所帯住宅で生活を	あっそうなんですね
入っていましてまよ迷うことなくここにやって来れました	あっそうですかーふーんすごいですねー
時々来るしそれから必ず電話でですね元気元気というふうにあのー話をしてくれていますのでそういう意味では大変恵まれていると	そうですね
あ九死に一生をかけた方が	あ
まおもに東南アジアにいー日本語を	東南アジアに
えーま自信がないってことはないんですがまー	ベテランですね
あー先生っていう仕事職業っていうのはいいなーこうやって子供たちとも出会えるしまた大切なことを教えることもできるし大切な	うーん
パソコン教室だとか	はーはい
指導者になれたらいいかな	そうですよねそれ
それから書道も好きです	わぁたくさん書道いいですねー
えーお友達や何かにも色々何かやったらいいんじゃないのっていわれるんですけどもその	はは
言えばいいのかなーと	ええはー
えーバスに乗って	バスではい
就職をいたしました	わぁよかったですねーおめでとうございます
会社に入ってから高校ですね高校から会社大学行って大学ん時はあんまりしてませんけれどもテニスですねテニスをやって社会人になってゴルフをやって	あーすごい
十人ぐらいで乗れるようなやつを持ってましたでそれはあのーごく最近までやってたのでまそれはあのーずぶ濡れんになる	ふっごく最近まで
入っていましてまよ迷うこと	そうでしたかええ
もーあっちが痛いこっちが痛いってことになると怖くてできないんですよねですから今はもうそういう	うーん
えー感謝され褒められたことが嬉しかった	そーですねー
でー仲間もね	あーはい
あのーやっぱ徒歩でずーっと来ればよかったなと思いましたけれどももう仕方がないということで	そっか
その人が母子家庭になって大変だっていうことそれが	あーそーなんですね
遊びに来るようになりました	そーですかー3回も4回も
私がフォローしてますけれどもそれなのにお弁当を	お弁当
良かったなーと	えー
やっぱり帰る時にはもー私あのーぐーちゃんぐーちゃんって呼ばれているんですけども	はーぐーちゃん
のぼりくだりのかたがいらっしゃるから進行方向左あ進行わたくしの場合は進行方向後ろに乗ると便利ということが書いてあったらよかったなとその時ふと	ほんと
病気の	そうですか
歩いて来ましたあのー地図を持っておりましたのでそれを見ながら	あ
あー飛び方じゃなくてゴムにかかってとそれで飛んじゃってそいで向こう側に行けば	うんうん
しえー	はい
その人が母子家庭に	うーん
そうですねー今はあのー	今は
救急車で運ばれまして	あそうなんですか
持続していくことができなかったんです残念ながら	ええはー
亡くなったために	あーはい
あとドッジボールもしましたね馬跳び	あードッジボールですねはい
何時何分に乗るということに決めてあったのですがわたくしは仕事の都合でそれに	あっ
あうなる	なれたらいいなって
そのビー玉が自分のものになる	へえ
九州方面が	まー九州まで
そこのお昼	はー
屋根伝いに	っ大変だ
リリアンという糸からふるな糸が	あーはいはいはい
いかず	はい帰って
途中うー非常に暑かったんですがあー	今日暑かったですね
行けることになった	ご兄弟で
全くにあの突然にそんな贈ってきてもらってまーなんて	ねー嬉しいですよねー
ワンラウンド90をきるのに	はっ
静購読ではないですがまーあー雨の日にはあー囲碁あるいは読書こういったことで	そうですね
そこの	へー
ゆっくりしてそれからこちらの会社に	あっそうなんですねー
あー運動部としてのヨット	ヨットはい
えー今五段だったのが一つ位が上がって五段錬士という位を称号を頂きました	わー凄いですね
何時何分に乗るという	へえ
でも誕生日ってほら年齢なんですよね	うんうん
歌舞伎の夜の夕方夕方からの	うん夜の部を
そっちの	つながりが
まーそいじゃー航空管制官になれなればだいじょぶかなというような事でそちらの	はあはあ
それから国取りっていいまして	くにとり
心配とが	うーん
えーあーいうところにまた行ってみたいなというと非常にうれしいことに必ずそれを調べてですねそれでえー来週もしくは再来週そこに一緒に行きましょうと	へえ
そこのお昼お休みとかなんかはそこのお姉さんたちと一緒に色んな遊びを	あ
まー仕事であの単身赴任でえー札幌にあのー赴任を	あへー
書道を教えてあげたいな	わ
勉強じぎょあー授業は	わー大変ですね
えーわたくしの趣味といえば	あはい
原っぱは使えませんので	そうなんですね
あとスポーツではね今はないんですけど三角ベースといいましてね	んー
いうことであのーそれをずーっと続けておりましてそういう仲間がおりますので未だに	素晴らしいですねー
山手線回りで来ました帰りはバスで帰ろうと	あーそうなんですね
初台から水道道路のほうからバスで新宿駅に	バスで
カラオケ教室だとか	わーたくさんあるんですねー
孫ちゃんたちに教える関係で	いいですね
こちらの	あはい
学校が	学校が
あークラスに入れたという	わっ
布を切って中に綿を	あー
空気銃を持って	わぁ
イタリアと北欧は	あー
今にして思えば	素敵な夢ですね
あのー水泳を昨日もやったんですけども水泳をやっています	はい水泳いーですねー
8歳くらいまでは色々何かおっかないような感じがしたりすることも	小さいから
健康でいること朝起きた	それは絶対
考え事をしてしまったこともございましたがまあ	ああ
えー趣味の一つは	はいご趣味
友人があー参加してくれたことが	あーそーなんですね
3人とも勤め先が違いますのでえーとどこの駅でしたか集合ということで急行電車に	待ち合わせして
多くの先生方や	知らなかったです
もともとわたくしはあの自動車が好きだったもんですから	うーん
会社に入ってから高校ですね高校から会社大学行って大学ん時はあんまりしてませんけれどもテニスですね	あー
たいしたもんじゃないんですがクルーザーって	あー
もし撃墜されてももう1発で死ねると	あー
雲の上にいるとそういう風に思える	はい
の駅まで参りましたその	あ
から舞台を	映画鑑賞
昭和38年の	はい昭和三十八年ですか
まー何しろ色々なものに興味がありまして年甲斐もないって言われますがお友達にはまだまだ私は前向きに色々の	前向きにですね
すべてがうまくいきまして	あ良かったです
入室しなければいけないというような	はい
その当時の子供はみんな兵隊さんになるって男の子はみんな兵隊さんになる女の子はほとんど看護婦さんになる	へー
あー飛び方じゃなくてゴムにかかってとそれで飛んじゃってそいで向こう側に行けばよしとしたあのーゴム飛びですね	うーんそうですよね
なんなんなんていうべきですかねおせんべい状の	はっはは
このような都会で色んな遊びはできなかった	そうですね
まー初めてトライしたんでね当然手は震えるしーさっき	そーですよねー
愛情あふれる	うふふふ
あのずっと仕事をしておりましたけれども	あそうなんですね
まっすぐそのまま	まっすぐあはっはい
あの鉄道関係のえー仕事がしたいなと思って特にあの電車の運転手さんに	は運転手さんですか
わたくしはあまり子供の頃やっぱり体が弱かったせいか外にはあまり遊びに行きませんでしたそして実家が本屋さんを	あー
おります	はーそーなんですねーいーですね
若松河田に行きますかと	うーん
たり	へえ
若く若々しくしていたいことかな一番したいことは	たいこと若々しく
大したものではないんですけどデパートからカステーラを送ってくれたことです	わー凄いいいですねー
それを生き生き大学と称してやってるんですけど	はーはい
あるいは竹馬を作って	はい竹馬ですか
大人とですね	ひひひっひ
あまりにも小さかったからただただそう	あー
戦争中でした	わーそうなんですね
父が色んな多角経営でお店をやったりしておりましたのでそちらのお店の方に食べ物屋さんを	あっ
やっぱり医者には	そーだったんですねー
わたくしにとっては	えーはい
あの何になりたいですかっとかそういう	はいへー
まー何しろ色々なものに興味が	そうですね
なりかたあのーもし結婚ができればそうじゃないんですけど結婚ができなかった時に自立できるように	あーはいはいはい
若松河田なのかわからなかたので	あーはいはい
えー毎日にちにちが充実した	ええほんとそう思います
その当時は新がた新車は日本人の割り当て制がありまして	あ
それから友達もたくさんいるのでえー	そう
西新宿5丁目大江戸線地下鉄大江戸線にえー乗車をいたしましてえー若松河田まで参り	あはい
あの詳細に	いらっしゃった
いっぱいつなげまして	ええ輪ゴムつないで
いい企業に入ったなと	うん
三角ベースというのも	へぇー
遊びらしい遊びを	教練
ですけども	とんでもないです
人に優しくされたい	笑い
あうなることができたら	そうです
はいえーと遅刻しちゃいけないと思いまして9時ちょっと過ぎに家を出まして原宿まで	そうですか
初台から	へー
自分は案外とメンコとかですねビー玉とかね	あー
アイアールアルトさんの	はいあはいそちらへ
仕切りを作って仕切りを作るまー線も書くと指で線を	あー
えー妻がはたちでした	はぁー
ずーっと	色々
良くなっていくのではないか	うーん良くなってく
