,input,answer,predict
30,"いう こと で あのー それ を ずーっと 続け て おり まし て そう いう 仲間 が おり ます の で 未だ に そう いう 意味 で は 非常 に あのー 幸せ だ な と そう 感じ て おり ます 
","_そう です ね 
","あー そう な ん です ね 
"
31,"いう こと で 
","_どう さ れ た ん です か 
","あー 
"
32,"二人 で 温泉 に 
","_ええ 
","あー そう な ん です ね 
"
33,"か と いっ て 
","_おや 
","あ そう な ん です ね 
"
34,"えー 麻雀 仲間 と か 
","_麻雀 
","あ はい 
"
35,"お 正月 は 自宅 で やっぱり 両親 や お 兄 ちゃん と 過ごし たい と 
","_ああ そう か 
","あ そう な ん です ね 
"
36,"と いう の は ちょうど 5 0 に なっ た ところ で 私 が あの 胆のう の 手術 を うけ た ん で 
","_あっ そう な ん です ねー 
","あー そう な ん です か 
"
37,"ま 洋服 ソーイング です ね 洋服 
","_あ 作る こと 
","あー そう な ん です か 
"
38,"あのー 捕虜 ご っこ なん つっ て 運動 場 を 走り回っ て 捕まえ て 
","_あー ええ 
","あー そう な ん です ね 
"
39,"ベーゴマ 
","_ベーゴマ 
","あー 
"
40,"えーと 学校 の 先生 に なり たかっ た です ね 
","_そう です かー 
","あー そう な ん です か 
"
41,"あの とても 胸 に 焼き付い て しまっ て 
","_うーん ええ 
","うーん 
"
42,"こと は し て もらい たい って いう の は あまり なるべく 人 に 頼ら ず 
","_ええ 頼ら ず 
","あ 
"
43,"あのー あちこち に 行く と いう こと な ん です ね で 今 の ところ です ね 孫 あー 一番 男の子 は です ね 今 大学 4 年 生 な ん です けど も 
","_大学 四 年 生 です か 
","あー はい はい 
"
44,"あのー 作文 に も 書き まし た けれど も 
","_あ 
","あ 
"
45,"そい で 
","_うん 一 個 少ない です ね 
","あー そう な ん です ね 
"
46,"早く あたし の 手 から 孫 ちゃん が 離れる よう に って いう 
","_あははは ええ ええ ええ 
","あー そう な ん です ね 
"
47,"たくさん ビデオ なり CD が あり ます の で 
","_あ 
","あ 
"
48,"ただし 僕 は あまり 素質 が ない もん です から 
","_え え そんな こと ない です 
","あ そう な ん です ね 
"
49,"ペンダント を 作っ たり も 
","_わー 幅広い です ねー 
","あー 
"
50,"4 年 の 所 を 優待 生 で 3 年間 で 
","_えっ 優待 生 
","あー 
"
51,"自分 の 目指す 大学 に 
","_はは 
","あー 
"
52,"数 の 多 さ で 勝負 を 決める と いう よう な 
","_あっ 
","はー 
"
53,"えー 代々木 から ここ まで 座っ て 来る こと が でき まし た 
","_良かっ た です 
","あ そう な ん です か 
"
54,"生活 し て いけれ ば いい な と 
","_そう です ね 
","あ そう な ん です ね 
"
55,"山 へ 行っ て 戦争 ごっこ の 
","_へえ 
","はい はい 
"
56,"バレリーナ ー です 
","_あ そう な ん です か ー ええ 
","あ そう な ん です か 
"
57,"あの はたち ちょいと の 時 の あの 突き抜ける よう な 喜び と いう の は 
","_はあ 
","あー 
"
58,"多く 遊ん だ の は 野球 を 
","_あ 野球 を 
","あ そう です ね 
"
59,"あの はたち ちょいと の 時 の あの 突き抜ける よう な 喜び と いう の は 
","_そう です よ ね 
","あー 
"
60,"まず は 健康 だ と 思い ます の で 
","_ええ あ そう 思い ます 
","あ そう な ん です か 
"
61,"ぱっぱっぱっ と 
","_うーん 
","あ そう です か 
"
62,"岸 へ 持ち上げ て 出す と その 中 に ウナギ が いる と か ナマズ が 
","_あー はい はい はい 
","あー そう な ん です か 
"
63,"生き甲斐 って いい ましょう か 皆 さん を 引っ張っ てく の に も 
","_あっ そー です よ ねー 
","あー そう な ん です か 
"
64,"えーと スポーツ が 大好き で です ね 小さい 頃 から ラクビー です ね ラクビー が 
","_え ラグビー です か 
","あ はい 
"
65,"いう こと で あのー それ を ずーっと 続け て おり まし て 
","_はい 凄い です 
","あー そう な ん です ね 
"
66,"スーパー の で ごめん ね って 言っ て 買っ て き て くれ て 
","_あー 
","あー そう な ん です ね 
"
67,"多く 遊ん だ の は 野球 を おー し て えー 子供 おー 
","_野球 うーん 
","あ そう な ん です か 
"
68,"いう ふう に 思っ た こと が 
","_はっ そー な ん です ねー 
","あー 
"
69,"もう 全面 的 に し て いただき たい と もう 
","_そう な ん です ね 
","あー 
"
70,"その 中 で 
","_凄い はい 
","あー そう な ん です か 
"
71,"に 居 まし た 時 に よく 耳 に し て おり 若松 は 耳 に し て おり まし た けれど も こう やっ て 来る の は 初めて でし た の で 
","_あ そう な ん です ね 
","あー そう な ん です ね 
"
72,"の 周り が 全部 兄弟 も そう です けど も 
","_そう な ん です か 
","あ そう な ん です か 
"
73,"その 
","_そう です か 
","あー 
"
74,"えー 
","_もう 一 つ は 
","そう です か 
"
75,"海 に 入る の は 
","_ええ ええ はい こわい 
","あー そう な ん です ね 
"
76,"乗り換え て から また 乗り換え なきゃ いけ ない 大 江戸 線 だけ で あの 
","_また 乗り換え です か 
","あ 
"
77,"全く に あの 突然 に そんな 贈っ て き て もらっ て まー なんて まー 嬉しい って いう より 悪い って 
","_嬉しい 
","あー はい 
"
78,"スーパー の で ごめん ね ごめん ね って いう 息子 に 
","_そんな もう 
","あ そう な ん です か 
"
79,"と いう 遊び です ね それ から 
","_へえ 
","あー そう な ん です ね 
"
80,"人 に 対し て やっ て あげる こと も 難しい か も しれ ない けど 
","_いえ いえ ええ 
","あー そう な ん です ね 
"
81,"九州 方面 が 
","_はい あー いろんな ところ に 
","はい あー そう な ん です ね 
"
82,"それ は あの にじん で くる の で 文章 を 書い て いる うち に にじみ ます から と 
","_あ 
","あ 
"
83,"です ね 
","_うーん 
","あ そう な ん です ね 
"
84,"ほとんど が 
","_あー あ 
","あー はい 
"
85,"駅 
","_はい 駅 で 
","はい あ そう です か 
"
86,"いう 風 に 
","_そう です ね 
","あー 
"
87,"演奏 し ます そい で 一人 で は なく 
","_うーん 
","あー そう な ん です か 
"
88,"夫婦 は 外 に 出 て ます 
","_あっ 
","あ 
"
89,"映画 活動 写真 って いう の かしら そんな あれ 見 て よく あのー 白衣 の 天使 って 
","_あははは 
","うーん 
"
90,"以上 です 
","_はい ありがとう ござい ます 
","はい あー そう な ん です か 
"
91,"辛かっ た です 
","_そー です ねー 
","あ そう です か 
"
92,"削っ て 木 を 
","_はー 
","あー 
"
93,"いたし まし て 今 イギリス の 方 に 
","_あ イギリス に みえる ん です か 
","はー 
"
94,"夕飯 の 支度 と か が する の が 
","_親 の 手伝い を する ん だ 
","あ そう な ん です ね 
"
95,"えー 大学 を 卒業 し て 就職 し て から 始め た ん です 
","_ええ あ そう です かー 
","あー そう な ん です か 
"
96,"お 母 さん が 子供 を 連れ て き た とこ から はじまる ん です けど それ で そこ の うち は 複雑 でし て あのー 色んな 
","_うーん うん 
","あー そう な ん です ね 
"
97,"あ 九死 に 一生 を かけ た 方 が お 戻り に なっ て 
","_そう です か 
","あ 
"
98,"そう いう こと で は 
","_ほんと です ね 
","あー 
"
99,"結構 な 坂 が ある ん です ね 
","_へえ 
","あー 
"
100,"スーパー の で ごめん ね って 言っ て 買っ て き て くれ て 
","_うーん 
","あー そう な ん です ね 
"
101,"あのー 送っ て いただい た 書類 を 読ん だり 
","_はい 読ま れ たり 
","あ はい 
"
102,"って 小さい 頃 なん に 
","_小さい 頃 
","あ そう な ん です か 
"
103,"あのー 水泳 を 昨日 も やっ た ん です けど も 
","_おー 凄い 
","あー そう な ん です ね 
"
104,"で 和裁 和服 も 好き です の で 和裁 も 習っ て とにかく 
","_やー 
","あー はい はい はい はい 
"
105,"えー そう いう 意味 で は その この 先生 が です ね 空手 は 教える けど 決して 暴力 を 振るう こと は まかり なら ん よ と いう こと で これ を 守れ なけれ ば 教え ない と いう こと で 
","_ああ 
","あー 
"
106,"大学 を 卒業 し まし て 
","_あー もう そんな に 大きい ん です か うん 
","あー そう な ん です ね 
"
107,"祖母 から 縫い 方 を 習っ たり し て お 手玉 を 遊ん で まし た 外 で は 
","_あっ 
","あー そう な ん です か 
"
108,"き 木登り を 
","_ほんと だ 
","はい はー 
"
109,"これ 
","_うわー 
","あー そう な ん です ね 
"
110,"ただ まー 強いて 趣味 と いえ ば まー ヨット か なー と 
","_はい あっ はーい で も ねー 
","あ はい 
"
111,"今 この パソコン で 最近 は 皆 あの イギリス の 方 の 大学 も 受け られる そう な ん で パソコン で なんか 受け た ところ が 
","_受験 さ れ た ん です か 
","あー 
"
112,"あまり ない ん です けど 
","_あはは そう です かあ は 
","あ そう な ん です か 
"
113,"その 升席 っつう の が 何 も ひい て ない の で 
","_あー 
","あー 
"
114,"その 絵 と 文字 が 重なっ て は いけ ない と いう こと な ん で ね 
","_あっ そー な ん です ね 
","あー そう な ん です ね 
"
115,"選抜 大学 選抜 チーム と の 試合 を 初めて まー 見 に 行っ た ん です けど も 
","_はー はい 
","あー そう な ん です か 
"
116,"おり ます の で 月 に 一 二 回 は ね 渋谷 と か 恵比寿 で ね 
","_え へへへ 
","あ はい 
"
117,"当たら なかっ た 時 の こと を 考える と 不安 だっ た ん です けど 
","_うーん ええ 
","あー そう な ん です ね 
"
118,"それ で 
","_え うん 
","あ そう な ん です か 
"
119,"自分 が する 方 が 好き です 
","_あ は そう な ん です か はい 
","あー そう な ん です か 
"
120,"友人 が あー 参加 し て くれ た こと が 
","_あー そう な ん です ね 
","あ そう な ん です ね 
"
121,"えー 現在 で も おー 年会 2 5 回 前後 は 
","_うーん 凄い 熱心 に やっ て おら れる 
","あー そう な ん です ね 
"
122,"宿 と いう か ま 安宿 でし た けれど も 着い て もう 3 人 で 狂喜 乱舞 し た こと が すごく 印象 に 残っ て い ます で 
","_は ほっと し まし た ね 
","あー そう な ん です ね 
"
123,"石蹴り って いう ん です か あの 
","_へえ 
","あー そう な ん です か 
"
124,"健康 な 体作り に がんばり たい って いう こと で 
","_けん こー 
","はー 
"
125,"その 中 で ま 自分 が キャプテン に なれ た と いう の も そう いう 
","_あ キャプテン に 
","あー 
"
126,"お 店 を 持つ こと が でき まし た 
","_あ まー 素敵 です ね 
","あ 
"
127,"場合 です ね 
","_あ それ は はい 
","あー 
"
128,"あの 子供 が 大学 に 行っ て まし て その 大学 は 家 から 2人 とも 2人 子供 が いる ん です けど も 2人 離れ て て 1人暮らし を 
","_あー そう な ん です ね 
","あー そう な ん です ね 
"
129,"あのー お 仕事 し てる 時 が 一番 嬉しい ん です わたくし は 
","_あ そう です か 
","あー そう な ん です か 
"
130,"それ が です ね 私 に とっ て は です ね 一番 嬉しい こと です よ と 
","_そう です よ ね 
","あー 
"
131,"まー よわい 七十 歳 な の で えー 戦争 が 終わる 直前 に 生まれ た わけ で 
","_わー そう な ん です か 
","あー そう な ん です ね 
"
132,"仕切り を 作っ て 仕切り を 作る まー 線 も 書く と 指 で 線 を 書く と いう 
","_あ 
","あっ 
"
133,"これ を やり たい と か あれ を やり たい と か って ちょっと そう いう 気持ち が あの だいぶ 薄れ て しまい まし た けど も 
","_薄れ て しまわ れ た ん です ね 
","あー そう な ん です か 
"
134,"旅館 の 女将 さん そう いう の に なり たい な と は 
","_いい です 
","あー そう な ん です ね 
"
135,"やっ て ます 
","_そう です か 
","あ そう な ん です か 
"
136,"答え に 窮する と いう か 
","_そう です か 
","あー そう な ん です ね 
"
137,"行ける 自信 が ちょ と ない ん です けど も 行ける チャンス が あっ たら また 
","_うーん うん うん 
","あー そう な ん です ね 
"
138,"ま おもに 東南 アジア に いー 日本 語 を 教え に 行く 
","_あっ 
","あ はい 
"
139,"来る とき は 自分 
","_来る 時 は 
","あー 
"
140,"えー 現実 を 見る と 
","_はい 見 ます と 
","はい あ そう な ん です か 
"
141,"当たら なかっ た 時 の こと を 考える と 不安 だっ た ん です けど 
","_そう です よ ねー 
","あー そう な ん です ね 
"
142,"考え て おり ませ ん とにかく 
","_うん うん はい そう です か 
","あ そう な ん です か 
"
143,"近所 の お 友達 など と おん 女の子 は ままごと 遊び で 
","_ああ ああ ああ 
","あ 
"
144,"あの ちょっと 勉強 を し て かじっ て み たり と か 
","_あ ええ ええ そう な ん です か 
","あ そう な ん です か 
"
145,"誰 か に 
","_何 か 
","うーん 
"
146,"あのー 
","_船 も うん 
","あー そう な ん です ね 
"
147,"先月 んー 高校 時代 の 友人 と えー 高田馬場 の おー イタリア レストラン で 
","_へえ 
","あ 
"
148,"ほとんど が あの 釣り が 多かっ た です 子供 の 頃 は 
","_釣り な ん です ね 
","あ はい 
"
149,"運ん だ って いう 記憶 ぐらい っきり ない ん です ね 
","_ええ うーん 
","あ そう な ん です か 
"
150,"はー 
","_うん うん うん そう です ね うーん 
","そう です か 
"
151,"まー 何しろ 色々 な もの に 興味 が あり まし て 年甲斐 も ない って 言わ れ ます が 
","_い え とんでも ない です 
","あー そう な ん です ね 
"
152,"でき た と いう こと が まー 平凡 な お 答え です けど 
","_いえ いえ いえ 
","あー そう な ん です か 
"
153,"卓球 だっ たら 誰 に も 負け な 
","_えっ 
","はい 
"
154,"それ で 
","_あれ 書道 も やら れ てる ん です ね 
","あ そう な ん です か 
"
155,"で あー えーと スムーズ に ここ です から わかり まし た の で 
","_ええ あ そう な ん です ね 
","あ そう な ん です か 
"
156,"んで 
","_うーん 
","あー 
"
157,"色々 おー 楽しい 話 を する と か 
","_そう です ね それ も 楽しい です ね 
","はい あー そう です ね 
"
158,"子供 たち が 目標 に 向かっ て 社会 人 で は あり ます が まー 色々 と 身 に 着ける 試験 に 合格 し て いく こと も 嬉しい 一 つ です 
","_そう です ね 
","あー そう な ん です ね 
"
159,"先生 を 信じ て た の でしょう か 先生 の つけ て くださる 
","_そう です ね 
","あー 
"
160,"あのー いい 成績 は 取れ ませ ん でし た 
","_いやいや 
","あー そう な ん です か 
"
161,"もー 自分 が がんばれ と いう こと だ と 思う ん で ね 
","_あー 
","うーん 
"
162,"泥棒 さん みたい ね って 言わ れ て 恥ずかしかっ た こと を 覚え て ます し 
","_はっ そう な ん です ね はい 
","あー そう な ん です か 
"
163,"それ から 
","_はい それ から 
","あ そう です か 
"
164,"子供 が です ね 3 人 あの 女の子 ばっかし な ん です けど 産まれ て 
","_へー 
","あ そう な ん です か 
"
165,"って 思い まし た まー 財閥 の 娘 で も ない の で 
","_そう です 
","あー はい はい 
"
166,"順調 に 
","_順調 に 
","はい はー 
"
167,"移り まし た 
","_あー そう な ん です か 
","あ そう な ん です か 
"
168,"電話 を し なさい し て くれ と 
","_えー 
","あ そう な ん です ね 
"
169,"あのー それ こそ 足 も 短い し あのー 背 も 小さい し って こと で 
","_そんな こと 
","あ そう な ん です ね 
"
170,"おー 
","_あ じゃあ 横浜 の ほう です ね 
","あ そう な ん です ね 
"
171,"お 母 さん に 対する 感謝 って いう こと だろう な と 
","_そ 
","あー 
"
172,"まー 今 で も 嬉しい って いう か ずーっと 嬉しい こと です よ ね 
","_はい 嬉しい です よ ねー 
","あー そう な ん です ね 
"
173,"それ から 絵 が 好き な の で 
","_へー 
","あー そう な ん です か 
"
174,"離れ た ところ に ござい ます 
","_はい あー そー な ん です ね 明治 神宮 の 
","はい あ そう な ん です か 
"
175,"途中 うー 非常 に 暑かっ た ん です が 
","_暑い はい 
","あー そう な ん です ね 
"
176,"あり ませ ん 
","_そう です か 
","あー そう な ん です ね 
"
177,"あー 気分 よく 起き られ た なー って 
","_そう です ね 
","あー 
"
178,"電話 を し なさい し て くれ と 書い て あっ た ん です 
","_凄い 
","あ 
"
179,"えー ゴルフ を やる に は 非常 に お 金 が かかる と いう こと だっ た ん です が 幸い に し て うち の 父親 が あのー 多少 の こと だっ たら 援助 する から やり なさい と いう こと で 
","_いい です ね 
","はい あー 
"
180,"それ で わたくし の 収入 が 良く なっ た か と いう こと と は また 別 の 問題 で ござい ます が 
","_あ そう な ん です ね 
","あ そう な ん です ね 
"
181,"一部 で あっ て も あー そう だ ね と いっ て お 互い に 共感 し あえる 何 か 
","_そう です ね 共感 する こと 一 番 です ね 
","そう です よ ね うん 
"
182,"それ から 戦争 ごっこ です よ ね 
","_ああ 
","あー そう な ん です ね 
"
183,"或いは シルバー で 入っ て た 中 で 
","_あ はい 
","あー 
"
184,"ただし 僕 は あまり 素質 が ない もん です から 
","_はー そんな こと ない です よ 
","あ そう な ん です ね 
"
185,"白馬 と 上高地 
","_うーん 
","あ 
"
186,"園長 さん に なら れ た 創立 なさっ た 
","_そう な ん です か 
","あ そう な ん です か 
"
187,"それ が す ば すべて 結果 と し て その たび その たび でし た けど すべて うまく いっ た って いう の が 
","_あー そう です か 
","あー はい はい 
"
188,"大人 に なっ て くる と 今度 は 経済 力 が でき ます から 
","_ああ 
","あー 
"
189,"2 泊 泊まっ て それ で 年末 の 3 1 日 に 父親 が 
","_年末 から 
","はー 
"
190,"一番 嬉しかっ た と 思っ て い ます 
","_うん あ そう か うん 
","あ そう な ん です ね 
"
191,"頭 の 体操 に も なる ん で ね 
","_はい 麻雀 は 
","あー そう な ん です か 
"
192,"で そこ から 一緒 に あのー 娘 と は 生活 し て ない ん です けど も そこ から すぐ 2，3 分 の ところ に 娘 の 家 が あり まし て そこ に 
","_近く に 
","うーん 
"
193,"今回 それ が 立ち直っ て すごい 元気 に なっ た って いう こと が 
","_あ はい 
","あー そう な ん です ね 
"
194,"いらっしゃる し 
","_そう です ね 
","はい あ そう な ん です か 
"
195,"のぞい て 
","_えー あっ そー な ん です ね 
","あー そう な ん です ね 
"
196,"など と ま そんな もの を 見 ながら 
","_んー 
","はー 
"
197,"4 年 の 所 を 優待 生 で 3 年間 で 終了 さ せ て いただき まし て 
","_へー 
","あ はい 
"
198,"その 前 に 入院 し たら ちゃんと その 看病 し たり なんか し て もらえる の か な 
","_はい あー そー です よ ねー 
","あー そう な ん です ね 
"
199,"自分 が 元 そのー 営業 車 の 運転 手 だっ た もん です から 
","_あー はい はい 
","あー そう な ん です ね 
"
200,"とうとう 何に も 教え て も ら もらえ ませ ん でし た が 
","_あ そう な ん です か 
","あー そう な ん です か 
"
201,"面白 さ を 味わっ て 
","_そー な ん です ね 
","あー そう な ん です ね 
"
202,"あー 色 を 使う ん です ね 
","_はあ 
","あー 
"
203,"あの あたくし の 小さい 頃 は なに に なり たい と か って いう の は あまり か 聞か れ た こと が な 
","_えー 
","あー そう な ん です か 
"
204,"じじい の 分際 で 
","_あはは 
","あ 
"
205,"孫 の 声 を 聞く と 二人 とも 元気 に なり ます 
","_そう です ね 
","あー そう な ん です か 
"
206,"むむ 難しい ご 質問 でし て 
","_そう です か 
","あ そう な ん です ね 
"
207,"岸 へ 持ち上げ て 出す と その 中 に ウナギ が いる と か ナマズ が 
","_へえ 
","あー そう な ん です か 
"
208,"肝臓 の 権威 って いわ れる ぐらい の 大 先生 に なっ て いる ん です 東京 医大 に あの おら れる 先生 です けど 
","_へー 
","あ そう な ん です ね 
"
209,"まず は 健康 だ と 思い ます の で 
","_そう です よ ね 
","あ そう な ん です か 
"
210,"やー これ 国技 館 て いう の は こう いっ た 感じ の もの な ん だ な と 
","_ああ 
","あー 
"
211,"これ から 
","_これ から 
","はい あー そう な ん です ね 
"
212,"そう いう その 基本 的 な 
","_なんか 練習 な ん です ね 
","あー 
"
213,"女医 さん に なり たかっ た です 
","_うーん あ そう だっ た ん です ね 
","あー そう な ん です か 
"
214,"考え て おり ませ ん とにかく 
","_あー はい 
","あ そう な ん です か 
"
215,"それ から 
","_洋服 
","あ そう です か 
"
216,"趣味 と 
","_共感 な ん です ね 
","うーん 
"
217,"で そこ から 一緒 に あのー 娘 と は 生活 し て ない ん です けど も そこ から すぐ 2，3 分 の ところ に 娘 の 家 が あり まし て 
","_あ 
","あ 
"
218,"えー たくさん あっ た 時 に は なん と いえ ば いい です か 
","_ええ うん うーん うん うん うん 
","あー そう な ん です か 
"
219,"その かた が あのー もう 嬉しく て 嬉しく て 椎葉 さん じゃ ない 私 の おかげ で そう なれ た って 
","_はあ 
","はー 
"
220,"でー 新宿 まで まー いつ も の よう に あのー 散歩 し て ます 
","_うーん うん あ そう な ん です か 
","あ そう な ん です か 
"
221,"あきらめ て い まし た の で 
","_うーん うん 2 か月 たっ てる から 
","あー そう な ん です か 
"
222,"こん 言葉 は 
","_ふふっ ふっ 
","あ そう な ん です ね 
"
223,"三 年 の 時 に まー 一応 キャプテン に なり まし た ん で 
","_まー キャプテン を さ れ て 
","あ はい 
"
224,"あー 色 を 使う ん です ね 
","_あー 
","あー 
"
225,"映画 は 
","_そう だっ た ん です ね 
","はい あー そう な ん です ね 
"
226,"その 時 は もう 周り が みんな 本当 に 喜ん で お 祝い を 
","_ええ 
","あー そう な ん です か 
"
227,"イタリア と 北欧 は 行っ て ない ん で えー その 辺 に 行き たい か なー と 
","_あー 行き たい です ね ー うーん 
","あー そう な ん です か 
"
228,"やはり あの 目 が ちょっと 良く ない と いう 事 も あっ て 
","_パイロット 目 が 良く ない と ダメ です もん ね 
","あー そう な ん です ね 
"
229,"商学 部 を おー 選択 し えー 商学 部 に 
","_あ はい 
","はっ はっ 
"
230,"きょう は あの 作文 に で 提出 し まし た が 
","_ええ はい 
","あー そう な ん です か 
"
231,"だっ た もん です から 
","_そう な ん だ 
","あー そう な ん です ね 
"
232,"うわーっ と 声 が 出る ほど 
","_あ そう な ん です か 
","あ そう な ん です か 
"
233,"で 東京 の おー ま 丸の内 で 某 おー 会社 の 試験 を 受け に 行か ざる を 得 なかっ た 
","_あっ あー そう いう こと です ね 
","あー そう な ん です か 
"
234,"まー そい じゃー 
","_そう な ん です ね 
","あ そう な ん です ね 
"
235,"私 が 
","_っ そう です か 
","あー そう な ん です ね 
"
236,"えー 良かっ た なー と 
","_いえ いえ 
","あー そう な ん です ね 
"
237,"氷 じゃ なく て 雪 です ね 
","_ああ 
","あー 
"
238,"一部 に 行け た だけ で も 初めて の 
","_へー 
","あ そう な ん です か 
"
239,"まー 月 に 一 回 と か 
","_へえ 
","あ 
"
240,"若 えー 
","_えっ 
","はい あ そう な ん です ね 
"
241,"私 が フォロー し て ます けれど も それ な の に お 弁当 を 買っ て き て くれ た の で 
","_まー 凄い 
","あー 
"
242,"初めて の 飛行 機 しゅ 
","_あ 
","あ 
"
243,"合弁 会社 を 作っ て それ を する と 
","_は あ 
","あー はい はい はい 
"
244,"皆 通っ たり し て た 小児 科 の 先生 が 凄い 優しく て 
","_うーん 
","あー 
"
245,"違い を 互い に 認め合う 
","_認め合う こと です か 
","あー そう な ん です か 
"
246,"えー 嬉しい こと と 思っ て おり ます 
","_そう です ね うーん 
","あー そう な ん です ね 
"
247,"看取っ て 
","_まあ ちょっと 辛い です ね ええ うん 
","あー はい はい はい 
"
248,"そして その 
","_そー です かー 
","あ そう な ん です か 
"
249,"えー 子供 の 頃 は えー 特に いー これ と いっ た 
","_ええ お 子 さん の 頃 は 
","あー そう な ん です ね 
"
250,"自分 で 誰 も 教え て くれる 人 が い ませ ん の で 一人 で 
","_あ そう な ん です ね 
","あー そう な ん です ね 
"
251,"それ から 芝生 の 
","_えー 
","うーん 
"
252,"です から 
","_そう です か 
","はい あー そう な ん です ね 
"
253,"赴任 する こと が でき まし た 
","_あっ そう な ん です ね 
","あー そう な ん です か 
"
254,"やっぱり 帰る 時 に は もー 私 あのー ぐー ちゃん ぐー ちゃん って 呼ば れ て いる ん です けど も 
","_えー 
","あ そう な ん です か 
"
255,"その 中学 生 の 三 年 生 の 
","_中学 生 の 時 は 
","あ はい 
"
256,"あ コンビニ を おー 二 つ ばかり 
","_二 つ も です か 
","あ はい 
"
257,"6 年 前 
","_六 年 前 です か 
","あっ ははは 
"
258,"私 は 何に も その 
","_そう な ん です ね 
","あー 
"
259,"いう の は 図書 館 で 本 を 借り て 
","_はい あ 図書 館 で ええ ええ 
","はい あ そう な ん です ね 
"
260,"ま 洋服 ソーイング です ね 洋服 
","_はい へー お 洋服 を 縫わ れる ん です か 
","あー そう な ん です か 
"
261,"アメリカ の 領事 館 へ 行っ て 領事 と 何 の ため に 行く ん だ どう いう 
","_あー 
","あー 
"
262,"寝坊 で ござい ます 
","_うん あー あはは っ はっ 
","あー そう な ん です か 
"
263,"母 の 日 に あの お 花 を 贈っ て いただい た こと です 
","_えー 
","あ はい 
"
264,"以上 です 
","_ありがとう ござい ます 
","はい あー そう な ん です か 
"
265,"まー あの 自分 の 趣味 と し て 一番 あー に あげ られる あの あげる と すれ ば えー 絵画 あー まー 絵 を 描く こと でしょう か 
","_へー 絵画 です か 
","あー はい はい 
"
266,"小さい 
","_そう です か 
","あ 
"
267,"色々 おー 楽しい 
","_ご 友人 と 
","あ そう な ん です ね 
"
268,"いか ない か も わかり ませ ん けど あの 特 に は 書道 やっ て ます 
","_あ はい 
","あ そう な ん です か 
"
269,"それ と 私 女子 医大 に 長く あの 入院 し て おり まし て 出 たり 入っ たり し て おり まし た の で この 辺 を ちょっと あの 存じ て おり まし た の で 
","_あっ そう です かー 
","あ そう な ん です か 
"
